year,module,first
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2014,SPS9C5,0
2015,SPS9C5,1
2015,SPS9C5,1
2015,SPS9C5,1
2015,SPS9C5,1
2015,SPS9C5,1
2015,SPS9C5,1
2015,SPS9C5,1
2015,SPS9C5,1
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
2015,SPS9C5,0
